Rank,Name,Country,Age,Net Worth ($bil)
1,William Gates,United States,53,40
2,Warren Buffett,United States,78,37
3,Carlos Slim Helu   family,Mexico,69,35
4,Lawrence Ellison,United States,64,22.5
5,Ingvar Kamprad   family,Sweden,83,22
6,Karl Albrecht,Germany,89,21.5
7,Mukesh Ambani,India,51,19.5
8,Lakshmi Mittal,India,58,19.3
9,Theo Albrecht,Germany,87,18.8
10,Amancio Ortega,Spain,73,18.3
11,Jim Walton,United States,61,17.8
12,Alice Walton,United States,59,17.6
12,Christy Walton   family,United States,54,17.6
12,S. Robson Walton,United States,65,17.6
15,Bernard Arnault,France,60,16.5
16,Li Ka-shing,Hong Kong,80,16.2
17,Michael Bloomberg,United States,67,16
18,Stefan Persson,Sweden,61,14.5
19,Charles Koch,United States,73,14
19,David Koch,United States,68,14
21,Liliane Bettencourt,France,86,13.4
22,Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,54,13.3
23,Michael Otto   family,Germany,65,13.2
24,David Thomson   family,Canada,51,13
25,Michael Dell,United States,44,12.3
26,Donald Bren,United States,76,12
26,Sergey Brin,United States,35,12
26,Larry Page,United States,36,12
29,Steven Ballmer,United States,53,11
29,Gerald Cavendish Grosvenor   family,United Kingdom,57,11
29,George Soros,United States,78,11
32,Paul Allen,United States,56,10.5
32,Kwok family,Hong Kong,NA,10.5
34,Anil Ambani,India,49,10.1
35,Abigail Johnson,United States,47,10
35,Susanne Klatten,Germany,46,10
35,Ronald Perelman,United States,66,10
35,Hans Rausing,Sweden,83,10
39,Birgit Rausing   family,Sweden,85,9.9
40,Michele Ferrero   family,Italy,82,9.5
40,Mikhail Prokhorov,Russia,43,9.5
40,Jack Taylor   family,United States,86,9.5
43,Mohammed Al Amoudi,Saudi Arabia,63,9
43,Anne Cox Chambers,United States,89,9
43,Carl Icahn,United States,73,9
43,George Kaiser,United States,66,9
43,Lee Shau Kee,Hong Kong,81,9
43,Forrest Mars Jr,United States,77,9
43,Jacqueline Mars,United States,69,9
43,John Mars,United States,72,9
51,Roman Abramovich,Russia,42,8.5
52,Ernesto Bertarelli,Switzerland,43,8.2
52,Philip Knight,United States,71,8.2
54,Nasser Al-Kharafi   family,Kuwait,65,8.1
55,James Simons,United States,70,8
55,Alain   Gerard Wertheimer,France,NA,8
57,Abdul Aziz Al Ghurair   family,United Arab Emirates,55,7.8
57,Vagit Alekperov,Russia,58,7.8
59,Sunil Mittal   family,India,51,7.7
60,Francois Pinault   family,France,72,7.6
61,Eike Batista,Brazil,52,7.5
62,Mohamed Bin Issa Al Jaber,Saudi Arabia,50,7
62,Maan Al-Sanea,Saudi Arabia,54,7
62,Edward Johnson III,United States,78,7
62,Ananda Krishnan,Malaysia,70,7
62,Robert Kuok,Malaysia,85,7
62,Joseph Safra,Brazil,70,7
68,Jeffrey Bezos,United States,45,6.8
69,August von Finck,Germany,79,6.7
70,Silvio Berlusconi   family,Italy,72,6.5
71,Leonardo Del Vecchio,Italy,73,6.3
71,Curt Engelhorn,Germany,82,6.3
71,Mikhail Fridman,Russia,44,6.3
74,Sulaiman Al Rajhi,Saudi Arabia,89,6.2
75,James Goodnight,United States,66,6.1
76,Iris Fontbona   family,Chile,NA,6
76,Petr Kellner,Czech Republic,44,6
76,John Kluge,United States,94,6
76,John Paulson,United States,53,6
76,Tadashi Yanai   family,Japan,60,6
81,Dan Duncan,United States,76,5.9
81,Eliodoro Matte   family,Chile,63,5.9
83,Alberto Bailleres   family,Mexico,76,5.7
83,Azim Premji,India,63,5.7
83,Hansjorg Wyss,Switzerland,74,5.7
86,Shashi   Ravi Ruia,India,65,5.6
87,Steven Cohen,United States,53,5.5
87,Ng Teng Fong   family,Singapore,80,5.5
87,Patrick Soon-Shiong,United States,57,5.5
90,Serge Dassault   family,France,83,5.4
90,Erivan Haub   family,Germany,76,5.4
92,Jorge Paulo Lemann,Brazil,69,5.3
93,Eli Broad,United States,75,5.2
93,Kunio Busujima   family,Japan,83,5.2
93,Karl-Heinz Kipp,Germany,85,5.2
93,Vladimir Lisin,Russia,52,5.2
93,Reinhold Wurth,Germany,73,5.2
98,Philip Anschutz,United States,69,5
98,Kirk Kerkorian,United States,91,5
98,Nicky Oppenheimer   family,South Africa,63,5
98,David   Simon Reuben,United Kingdom,NA,5
98,Kushal Pal Singh,India,77,5
98,Galen Weston   family,Canada,68,5
