Rank,Name,Country,Age,Net Worth ($bil)
1,Warren Buffett,United States,77,62
2,Carlos Slim Helu   family,Mexico,68,60
3,William Gates III,United States,52,58
4,Lakshmi Mittal,India,57,45
5,Mukesh Ambani,India,50,43
6,Anil Ambani,India,48,42
7,Ingvar Kamprad   family,Sweden,81,31
8,KP Singh,India,76,30
9,Oleg Deripaska,Russia,40,28
10,Karl Albrecht,Germany,88,27
11,Li Ka-shing,Hong Kong,79,26.5
12,Sheldon Adelson,United States,74,26
13,Bernard Arnault,France,59,25.5
14,Lawrence Ellison,United States,63,25
15,Roman Abramovich,Russia,41,23.5
16,Theo Albrecht,Germany,85,23
17,Liliane Bettencourt,France,85,22.9
18,Alexei Mordashov,Russia,42,21.2
19,Alwaleed Bin Talal,Saudi Arabia,51,21
20,Mikhail Fridman,Russia,43,20.8
21,Vladimir Lisin,Russia,51,20.3
22,Amancio Ortega,Spain,72,20.2
23,Raymond Thomas Walter Kwok,Hong Kong,NA,19.9
24,Mikhail Prokhorov,Russia,42,19.5
25,Vladimir Potanin,Russia,47,19.3
26,Christy Walton   family,United States,53,19.2
26,Jim Walton,United States,60,19.2
26, S. Robson Walton,United States,64,19.2
29,Lee Shau Kee,Hong Kong,80,19
29,Alice Walton,United States,58,19
31,David Thomson  family,Canada,50,18.9
32,Sergey Brin,United States,34,18.7
33,Larry Page,United States,35,18.6
34,Michael Otto   family,Germany,64,18.2
35,Stefan Persson,Sweden,60,17.7
36,Suleiman Kerimov,Russia,42,17.5
37,Charles Koch,United States,72,17
37,David Koch,United States,67,17
39,Francois Pinault  family,France,71,16.9
40,Michael Dell,United States,43,16.4
41,Paul Allen,United States,55,16
41,Kirk Kerkorian,United States,90,16
43,Steven Ballmer,United States,52,15
43,Abigail Johnson,United States,46,15
43,Shashi   Ravi Ruia,India,NA,15
46,Nasser Al-Kharafi family,Kuwait,64,14
46,Gerald Cavendish Grosvenor   family,United Kingdom,56,14
46,Carl Icahn,United States,72,14
46,Forrest Mars Jr,United States,76,14
46,Jacqueline Mars,United States,68,14
46,John Mars,United States,71,14
46,Birgit Rausing   family,Sweden,84,14
46,Jack Taylor   family,United States,85,14
54,German Khan,Russia,46,13.9
55,Susanne Klatten,Germany,45,13.2
56,Vagit Alekperov,Russia,57,13
56,Donald Bren,United States,75,13
58,Alain   Gerard Wertheimer,France,NA,12.9
59,Dmitry Rybolovlev,Russia,41,12.8
60,Azim Premji,India,62,12.7
60,Naguib Sawiris,Egypt,53,12.7
62,Anne Cox Chambers,United States,88,12.6
63,Iskander Makhmudov,Russia,44,11.9
64,Sunil Mittal   family,India,50,11.8
65,Alexander Abramov,Russia,49,11.5
65,Michael Bloomberg,United States,66,11.5
67,Viktor Vekselberg,Russia,50,11.2
68,Michele Ferrero   family,Italy,81,11
68,George Kaiser,United States,65,11
68,Spiro Latsis   family,Greece,61,11
68,Nassef Sawiris,Egypt,46,11
72,Alexei Kuzmichev,Russia,45,10.8
73,Philip Knight,United States,70,10.4
73,Viktor Rashnikov,Russia,59,10.4
75,Ernesto Bertarelli,Switzerland,42,10.3
76,Kumar Birla,India,40,10.2
77,Leonardo Del Vecchio,Italy,72,10
77,Antonio Ermirio de Moraes   family,Brazil,79,10
77,Iris Fontbona   family,Chile,NA,10
77,Edward Johnson III,United States,77,10
77,Hans Rausing,Sweden,82,10
77,Vladimir Yevtushenkov,Russia,59,10
77,Igor Zyuzin,Russia,47,10
84,Serge Dassault family,France,82,9.9
85,Alberto Bailleres   family,Mexico,75,9.8
86,Ramesh Chandra,India,68,9.6
87,Charles Ergen,United States,55,9.5
87,John Kluge,United States,93,9.5
87,Ronald Perelman,United States,65,9.5
90,Silvio Berlusconi   family,Italy,71,9.4
91,Gautam Adani,India,45,9.3
91,Petr Kellner,Czech Republic,43,9.3
91,Alisher Usmanov,Russia,54,9.3
94,Adolf Merckle,Germany,73,9.2
94,August von Finck,Germany,78,9.2
96,Onsi Sawiris,Egypt,78,9.1
97,Mohammed Al Amoudi,Saudi Arabia,62,9
97,Robert Kuok,Malaysia,84,9
97,George Soros,United States,77,9
100,Abdul Aziz Al Ghurair   family,United Arab Emirates,54,8.9
